text,predicted_sentiment
"I want you guys to be the first to fly to #Cuba, from NYC.",negative
"$192 rndtrp 4/30-5/5 ""@DJQ_KC: RT @djimpact: If you're trying to make travel reservations for Vegas on May 2nd it's too Late Flight""",negative
Thank you glad to be home. There were lots of delays with the plane and flight crew didn't show up. It was very frustrating.,positive
is anything being done to make Flight Attendants aware of AA member benefits? Embarrassing being argued with. Just happened.,negative
my key point of confusion is whether I can make this change even though the initial Flight Booking Problems was on US Airways metal?,negative
it was eventually explained that weather conditions too extreme to get luggage off planes. Will be sent on. But I won't be for days!,negative
"yes I have and I was calling in regards to speaking to someone about it even further, but unfortunately i was just bounced around.",negative
OK I will call them likely tmrw UK time to question the process getting the change charge reversed due to a bereavement,neutral
no thanks,positive
"Seat 14A, Flight UA895",neutral
me because it might not be so urgent for you but it really is for me. (5),negative
please confirm 2917 from CID-DFW at 11:30 departure will be/is Cancelled Flighted. Don't want to make the hour drive!,negative
 and the hits keep on coming. http://t.co/44ZHmfDIW6 #unitedfail #unitedwithivy,neutral
"my wife is trying to check in for a flight tonight out of RSW...website not allowing, saying must go to airport... [Part 1 of 2]",negative
yes! Always a treat to fly with you guys! 😊✈️,positive
"aa employees were rude and unwilling to help. 10,000 miles is a rotten cherry on top of a dog shit Sunday. #nocareforcustomers",negative
thank you for the help!!,positive
Gotcha... thanks for the update. I'm ready to go whenever you are :) Enjoy your evening.,positive
I wanna be grand staff,negative
you should have 39 dollar LAX-Las fares!!!,neutral
